Flight Number;Orig;Dest;A/C;Weekday_Z;STD-HH:MM;STA-HH:MM;DD_Z;Net Payload;Net Volume;key
PO998;PVG;ANC;77X;Wed;12:45;21:45;;77350;645;PVG/ANC/2024-09-11 12:45:00
3S571;PVG;LEJ;77X;Wed;19:40;08:55;1.0;77350;645;PVG/LEJ/2024-09-11 19:40:00
3S571;PVG;LEJ;77X;Thu;19:40;08:55;1.0;77350;645;PVG/LEJ/2024-09-12 19:40:00
D053;PVG;LAX;77X;Thu;20:15;08:30;1.0;77350;645;PVG/LAX/2024-09-12 20:15:00
PO998;PVG;ANC;77X;Thu;12:45;21:45;;77350;645;PVG/ANC/2024-09-12 12:45:00
3S571;PVG;LEJ;77X;Fri;19:40;08:55;1.0;77350;645;PVG/LEJ/2024-09-13 19:40:00
D051;PVG;LAX;77X;Fri;20:00;08:15;1.0;77350;645;PVG/LAX/2024-09-13 20:00:00
PO228;PVG;ANC;74N;Sat;21:45;06:45;1.0;102300;853;PVG/ANC/2024-09-14 21:45:00
3S571;PVG;LEJ;77X;Sat;19:40;08:55;1.0;77350;645;PVG/LEJ/2024-09-14 19:40:00
D053;PVG;LAX;77X;Sat;20:15;08:30;1.0;77350;645;PVG/LAX/2024-09-14 20:15:00
PO718;PVG;NRT;77X;Sat;20:55;23:55;;77350;645;PVG/NRT/2024-09-14 20:55:00
PO987;PVG;ANC;77X;Sat;00:45;09:45;;77350;645;PVG/ANC/2024-09-14 00:45:00
3S565;PVG;LEJ;77X;Sun;20:05;09:20;1.0;77350;645;PVG/LEJ/2024-09-15 20:05:00
W8919;QRO;GDL;76Y;Thu;23:55;00:55;1.0;47650;442;QRO/GDL/2024-09-12 23:55:00
